@relation beisbol_prediccion

@attribute local_visitante {Local,Visitante}
@attribute racha_ult3 numeric
@attribute prom_carreras_favor numeric
@attribute prom_carreras_contra numeric
@attribute rival_fuerza {Baja,Alta,Media}
@attribute gana {Si,No}

@data
Visitante,2,9.49,5.97,Baja,No
Visitante,0,1.29,6.46,Media,No
Visitante,2,7.08,9.14,Media,No
Visitante,3,8.96,9.94,Media,Si
Local,2,7.71,5.17,Baja,Si
Visitante,0,4.31,1.77,Alta,Si
Visitante,3,8.73,3.25,Media,Si
Visitante,1,9.92,3.14,Media,Si
Visitante,0,8.86,9.02,Alta,No
Local,0,4.66,0.26,Media,Si
Visitante,2,7.02,4.76,Alta,No
Local,3,9.15,1.34,Alta,Si
Local,1,9.93,5.46,Media,Si
Visitante,3,6.41,7.75,Baja,Si
Local,3,0.01,4.68,Baja,Si
Local,0,5.46,3.67,Alta,No
Visitante,1,5.61,1.39,Media,No
Visitante,2,2.75,8.34,Media,Si
Visitante,3,6.07,7.67,Alta,Si
Local,1,2.72,4.81,Media,Si
Visitante,1,1.75,6.03,Media,No
Local,0,4.41,7.97,Alta,Si
Visitante,2,1.25,2.07,Media,No
Local,0,5.15,2.38,Baja,Si
Local,0,5.94,7,Media,No
Visitante,1,5.87,2.06,Baja,No
Visitante,1,2.33,4.59,Media,Si
Local,2,2.67,8.69,Baja,Si
Local,2,9.97,8.82,Alta,Si
Local,3,4.27,2.12,Media,No
Visitante,0,1.13,0.31,Baja,No
Visitante,0,2.04,2.18,Alta,No
Visitante,1,8.72,5.35,Alta,Si
Visitante,3,6.98,2.4,Baja,No
Visitante,0,5.21,5.78,Alta,Si
Visitante,1,1.26,9.55,Media,Si
Visitante,2,2.92,8.66,Media,Si
Local,3,3.43,8.46,Media,Si
Visitante,3,0.98,3.79,Baja,Si
Local,0,1.19,8.15,Baja,Si
Visitante,0,3.95,3.35,Alta,No
Visitante,3,2.66,8.3,Alta,Si
Visitante,2,0.87,8.59,Alta,Si
Visitante,3,6.24,1.91,Baja,No
Local,3,7.99,6.7,Alta,Si
Visitante,2,1.61,1.3,Alta,No
Visitante,1,5.93,5.85,Media,Si
Visitante,3,7.26,1.89,Media,No
Local,1,3.36,6.69,Media,No
Local,0,2.98,0.94,Alta,No
Local,1,3.95,2.32,Media,Si
Visitante,3,6.53,9.58,Baja,Si
Local,0,4.26,5.81,Baja,No
Local,3,1.66,0.91,Alta,Si
Local,3,8.96,2.18,Alta,Si
Visitante,0,9.76,9.66,Media,No
Visitante,3,1.44,4.29,Alta,Si
Local,3,1.81,9.24,Media,Si
Visitante,2,8.78,2.49,Alta,No
Local,0,1.35,7.04,Baja,No
Local,2,4.25,5.6,Alta,No
Local,3,5.29,4.96,Media,Si
Visitante,0,8.24,0.55,Media,No
Visitante,3,8.69,3.09,Media,Si
Visitante,2,0.15,2.77,Alta,Si
Visitante,0,7.2,7.02,Baja,Si
Visitante,3,0.39,9.85,Baja,No
Visitante,0,7.31,2.76,Alta,Si
Visitante,1,7.2,9.3,Media,No
Local,1,2.36,1.87,Alta,No
Local,3,4.11,3.58,Alta,Si
Visitante,3,7.19,9.55,Alta,No
Visitante,1,6.05,9.73,Alta,Si
Local,3,5.59,2.43,Baja,No
Visitante,3,9.62,5.36,Media,No
Local,0,1.93,7.66,Baja,Si
Visitante,1,4.84,4.62,Media,Si
Local,2,4.9,2.02,Media,Si
Visitante,0,8.58,3.66,Alta,No
Visitante,1,5.86,3.17,Media,No
Visitante,1,8.67,8.36,Baja,No
Visitante,3,0.8,1.13,Baja,No
Local,1,7.95,9.95,Media,No
Local,3,4.19,8.88,Baja,No
Visitante,0,8.85,8.54,Media,No
Local,3,7.47,1.41,Baja,No
Local,1,7.44,5.04,Baja,Si
Visitante,1,6.83,6.18,Baja,No
Local,3,2.53,3.23,Baja,No
Local,2,1.3,0.15,Alta,Si
Visitante,2,2.01,7.38,Baja,Si
Visitante,3,8.74,6.52,Media,Si
Visitante,1,6.22,4.95,Media,Si
Local,2,9.05,2.85,Alta,Si
Local,1,9.21,3.68,Baja,No
Local,1,7.67,3.63,Alta,No
Visitante,1,1.59,6.89,Alta,No
Local,2,6.99,5.72,Baja,No
Visitante,0,6.71,9.09,Baja,No
Local,3,4.44,6.42,Baja,Si
Visitante,2,3.8,1.69,Alta,Si
Local,2,8.35,7.75,Alta,Si
Visitante,2,2.16,9.75,Baja,No
Visitante,2,6.8,1.59,Baja,No
Visitante,1,9.73,0.97,Baja,No
Visitante,1,9.83,6.7,Baja,No
Local,3,4.27,3.78,Baja,Si
Visitante,2,7.36,2.25,Alta,No
Local,0,1.01,6.67,Media,Si
Visitante,1,5.44,3.93,Media,No
Visitante,3,9.35,4.87,Media,No
Visitante,0,2.88,4.39,Baja,Si
Visitante,1,1.3,5.76,Baja,Si
Local,2,9.13,3.23,Alta,Si
Local,2,9.25,5.75,Media,Si
Visitante,0,2.32,0.29,Baja,No
Visitante,0,5.09,1.29,Baja,No
Visitante,3,6.72,4.16,Baja,No
Local,2,9.46,9.62,Baja,No
Visitante,1,6.17,2.19,Baja,No
Local,0,8.5,3.66,Alta,Si
Local,3,3.43,1.95,Alta,Si
Visitante,1,6.84,2.41,Media,Si
Visitante,0,0.83,7.55,Baja,No
Local,3,9.73,3.37,Baja,No
Local,0,3.29,0.7,Baja,Si
Visitante,1,2.18,8.47,Baja,No
Visitante,2,3.12,6.14,Alta,Si
Visitante,1,4.82,3.78,Baja,No
Visitante,1,5.14,5.45,Media,Si
Local,2,9.4,2.56,Alta,No
Visitante,2,4.64,9.55,Alta,No
Visitante,0,2.41,3.25,Media,No
Local,0,4.52,0.54,Baja,No
Local,0,9.34,8.86,Baja,No
Visitante,2,2.31,3.92,Media,No
Visitante,3,6.07,7.49,Baja,Si
Visitante,0,6.09,4.05,Baja,No
Local,2,9.9,7.38,Baja,No
Local,2,9.54,9.43,Alta,Si
Local,2,5.4,5.46,Alta,Si
Visitante,3,5.11,2.39,Baja,No
Visitante,2,5.16,7.96,Baja,Si
Visitante,1,5.4,8.39,Baja,Si
Local,0,6.33,6.58,Media,Si
Visitante,3,8.5,7.51,Alta,Si
Visitante,1,5.06,7.11,Alta,Si
Visitante,2,7.93,9.53,Alta,Si
Visitante,1,9.57,0.38,Baja,No
Visitante,3,0.54,9.42,Alta,Si
Visitante,1,8.83,5.33,Alta,Si
Visitante,0,0.39,2.66,Baja,No
Local,2,7.88,5.29,Baja,Si
Visitante,0,8.59,8.4,Alta,No
Visitante,2,8.21,6.07,Alta,Si
Local,2,9.37,3.15,Alta,Si
Visitante,3,3.4,0.38,Media,Si
Local,0,8.58,8.37,Baja,Si
Local,1,1.18,2.09,Media,Si
Local,3,2.58,4.99,Media,No
Local,3,3.99,6.95,Baja,No
Local,1,1.78,6.28,Media,Si
Visitante,0,0.16,0.18,Media,No
Visitante,3,5.71,8.99,Baja,Si
Local,1,8.67,1.99,Baja,No
Local,1,6.95,2.52,Baja,Si
Local,2,8.32,6.86,Alta,Si
Local,3,2.7,8.64,Alta,No
Visitante,1,9.05,5,Media,Si
Local,2,1.28,5.65,Baja,No
Local,1,4.33,0.6,Media,No
Local,2,0.8,8.99,Baja,Si
Local,1,0.07,3.51,Baja,No
Local,2,0.63,7.16,Media,No
Local,1,7.98,7.22,Alta,Si
Local,2,5.54,5.94,Media,No
Local,2,1.53,0.48,Media,Si
Local,2,9.43,9.72,Baja,No
Local,1,7.58,8.25,Alta,Si
Visitante,2,4.28,3.69,Alta,No
Visitante,0,8.37,2.1,Alta,No
Local,3,2.85,2.03,Baja,Si
Visitante,3,8.12,0.38,Baja,Si
Local,0,2.89,1.58,Media,No
Visitante,0,1.32,0.48,Media,No
Visitante,0,4.54,8.98,Alta,No
Local,0,8.5,6.26,Alta,Si
Visitante,2,6.79,6.99,Baja,No
Local,2,1.82,9.04,Alta,Si
Local,2,9.23,6.24,Alta,Si
Visitante,0,2.8,2.02,Media,Si
Local,2,6.11,7.52,Alta,No
Visitante,3,9.86,6.81,Media,Si
Visitante,2,7.51,1.33,Baja,No
Visitante,1,2.88,1.24,Media,No
Local,0,6.34,7.39,Alta,Si
Local,3,3.53,5.44,Media,Si
Local,1,7,0.31,Media,No
Visitante,0,1.09,6.27,Alta,Si
Visitante,3,7.75,6.01,Media,Si
Local,2,3.84,5.99,Baja,No
Local,2,9.39,6.43,Media,Si
Local,1,2.12,9.19,Media,Si
Local,2,1.85,5.48,Alta,Si
Visitante,3,1.96,8.73,Alta,Si
Visitante,2,0.52,1,Baja,No
Visitante,2,3.81,3.51,Alta,No
Local,2,0.3,3.66,Baja,No
Local,2,5.64,7.72,Alta,No
Local,1,7.28,4.88,Alta,No
Visitante,3,6.46,8.76,Baja,No
Visitante,2,6.82,8.04,Media,Si
Local,3,1.86,9.15,Baja,No
Local,0,7.4,0.32,Baja,Si
Local,0,1.03,5.54,Alta,Si
Local,3,6.51,6.54,Alta,No
Visitante,1,5.87,6.82,Alta,Si
Local,3,0.37,7.06,Media,No
Visitante,1,6.09,2.21,Media,Si
Local,0,6.64,4.33,Baja,Si
Visitante,3,1.92,1.42,Media,Si
Local,0,7.25,8.57,Baja,Si
Local,1,7.84,1.1,Baja,No
Local,3,7.29,3.98,Alta,No
Local,2,9.3,4.39,Alta,Si
Local,2,4.79,4.97,Media,Si
Local,0,0.82,3.04,Alta,Si
Visitante,1,1.1,4.13,Media,No
Visitante,2,6.09,9.12,Baja,No
Visitante,2,7.54,1.59,Media,No
Local,1,4.49,1.68,Alta,Si
Local,3,2.58,9.37,Media,No
Visitante,2,2,1.38,Baja,Si
Local,1,8.43,3.46,Alta,Si
Visitante,0,3.05,1.11,Media,No
Local,3,3.84,7.95,Baja,Si
Local,2,8,9.19,Media,No
Visitante,3,8.75,0.84,Baja,Si
Visitante,3,1.01,2.46,Baja,Si
Local,1,0.44,7.11,Alta,Si
Local,2,2.95,1.96,Baja,Si
Visitante,3,7.83,7.45,Media,Si
Visitante,3,2.66,6.57,Media,No
Local,0,2.67,3.47,Media,Si
Local,2,1.06,1.78,Baja,Si
Local,1,8.01,5.59,Media,No
Visitante,3,8.37,0.85,Alta,Si
Local,1,5.86,6.68,Media,No
Visitante,0,5.47,1.31,Baja,Si
Local,1,7.82,8.36,Alta,No
Local,2,6.46,5.95,Baja,Si
Visitante,1,6.09,0.97,Media,No
Local,1,1.65,8.38,Baja,Si
Local,1,3.72,5.1,Baja,Si
Local,2,4.27,9.77,Alta,Si
Visitante,0,0.28,5.83,Alta,No
Local,1,4.01,5.06,Alta,No
Visitante,2,1.12,0.65,Media,No
Visitante,2,5.3,8.58,Baja,No
Visitante,1,6.08,4.16,Alta,No
Local,1,9.18,5.79,Media,Si
Visitante,3,5.21,5.98,Media,No
Local,3,6.97,8.31,Media,Si
Visitante,1,2.6,9.97,Baja,No
Visitante,0,6.16,3.18,Baja,No
Visitante,3,9.73,6.36,Baja,No
Local,0,6.62,7.47,Baja,No
Local,2,2.24,3.59,Baja,No
Local,1,8.56,9,Media,No
Local,1,8.8,6.22,Baja,Si
Visitante,3,8.11,1.56,Media,Si
Visitante,0,6.89,8.69,Alta,No
Local,1,4.94,1.64,Baja,Si
Local,0,4.04,1.02,Alta,Si
Local,3,6.84,1.82,Alta,Si
Visitante,2,0.14,7.48,Alta,Si
Local,2,1.69,7.25,Media,No
Local,2,8.63,1.28,Media,Si
Visitante,0,3.63,2.79,Baja,No
Visitante,2,4.07,8.31,Baja,No
Visitante,2,4.47,6.89,Media,Si
Local,1,0.02,5.59,Alta,Si
Local,1,4.26,0.49,Baja,No
Visitante,3,2.65,1.27,Baja,Si
Visitante,2,3.49,2.14,Alta,Si
Local,1,1.75,6.12,Media,No
Visitante,1,4.69,5.77,Media,Si
Local,3,3.81,8.64,Alta,No
Visitante,0,8.93,5.95,Media,Si
Visitante,2,5.34,7.54,Media,Si
Local,3,3.18,8,Media,Si
Visitante,1,9.63,5.36,Media,Si
Local,1,6.87,5.5,Media,No
Local,1,0.22,0.14,Baja,Si
Local,1,6.95,0.88,Baja,Si
Visitante,0,1.54,0.52,Baja,Si
Local,0,9.3,8.45,Alta,No
Visitante,0,6.89,4.6,Alta,No
Visitante,0,3.23,0.42,Alta,Si
Visitante,0,2.08,6.82,Baja,No
Local,2,6.46,0.12,Baja,Si
Visitante,1,5.25,3.69,Baja,Si
Local,2,6.59,1.29,Baja,Si
Visitante,1,3.89,0.74,Alta,No
Local,2,4.16,5.68,Baja,No
Visitante,3,5.17,9.12,Baja,No
Visitante,3,4.87,2.14,Baja,No
Visitante,0,5.89,7.25,Alta,No
Visitante,2,4.81,5.82,Media,No
Local,3,6.88,3.43,Media,Si
Local,3,7.6,9.59,Alta,No
Visitante,3,1.26,1.59,Alta,Si
Visitante,0,0.05,7.16,Media,No
Local,2,9.13,2.01,Baja,Si
Visitante,2,7.59,3.17,Alta,No
Visitante,3,0.08,4.11,Alta,No
Visitante,1,7.5,7.54,Baja,Si
